GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2018-06-08,1610612739,1610612744,2017,85.0,108.0,193.0,102.5,103.15,108.85,102.55
2018-06-06,1610612739,1610612744,2017,102.0,110.0,212.0,102.3,103.15,109.19999999999999,102.44999999999999
2018-06-03,1610612744,1610612739,2017,122.0,103.0,225.0,108.75,101.9,101.65,101.65
2018-05-31,1610612744,1610612739,2017,124.0,114.0,238.0,108.55,102.5,102.1,100.9
2018-05-28,1610612745,1610612744,2017,92.0,101.0,193.0,103.25,102.75,108.8,104.2
2018-05-27,1610612738,1610612739,2017,79.0,87.0,166.0,101.30000000000001,101.75,104.25,103.55000000000001
2018-05-26,1610612744,1610612745,2017,115.0,86.0,201.0,108.9,105.25,104.69999999999999,102.55000000000001
2018-05-25,1610612739,1610612738,2017,109.0,99.0,208.0,104.75,104.35,101.45,101.6
2018-05-24,1610612745,1610612744,2017,98.0,94.0,192.0,104.6,102.55000000000001,109.75,105.69999999999999
2018-05-23,1610612738,1610612739,2017,96.0,83.0,179.0,102.15,102.3,106.5,104.8
2018-05-22,1610612744,1610612745,2017,92.0,95.0,187.0,110.5,106.75,106.30000000000001,103.95
2018-05-21,1610612739,1610612738,2017,111.0,102.0,213.0,106.55,105.0,101.9,101.44999999999999
2018-05-20,1610612744,1610612745,2017,126.0,85.0,211.0,108.25,107.1,107.4,102.7
2018-05-19,1610612739,1610612738,2017,116.0,86.0,202.0,105.65,105.05,102.69999999999999,100.35
2018-05-16,1610612745,1610612744,2017,127.0,105.0,232.0,107.05000000000001,102.65,108.6,105.55
2018-05-15,1610612738,1610612739,2017,107.0,94.0,201.0,102.65,101.25,104.9,104.6
2018-05-14,1610612745,1610612744,2017,106.0,119.0,225.0,106.95,101.85,106.4,104.69999999999999
2018-05-13,1610612738,1610612739,2017,108.0,83.0,191.0,102.8,102.3,106.8,104.9
2018-05-09,1610612738,1610612755,2017,114.0,112.0,226.0,102.6,101.65,113.9,103.75
2018-05-08,1610612745,1610612762,2017,112.0,102.0,214.0,107.25,101.05000000000001,106.7,101.35
2018-05-08,1610612744,1610612740,2017,113.0,104.0,217.0,105.3,105.0,110.45,107.6
2018-05-07,1610612755,1610612738,2017,103.0,92.0,195.0,114.9,104.35,103.2,101.15
2018-05-07,1610612739,1610612761,2017,128.0,93.0,221.0,105.75,105.35,107.2,106.1
2018-05-06,1610612740,1610612744,2017,92.0,118.0,210.0,111.6,106.94999999999999,105.6,105.85
2018-05-06,1610612762,1610612745,2017,87.0,100.0,187.0,107.05000000000001,101.30000000000001,107.5,100.80000000000001
2018-05-05,1610612755,1610612738,2017,98.0,101.0,199.0,116.0,104.7,103.4,101.25
2018-05-05,1610612739,1610612761,2017,105.0,103.0,208.0,106.5,104.94999999999999,107.35,105.8
2018-05-04,1610612740,1610612744,2017,119.0,100.0,219.0,111.05000000000001,106.4,105.75,105.35
2018-05-04,1610612762,1610612745,2017,92.0,113.0,205.0,107.6,100.5,107.1,101.6
2018-05-03,1610612761,1610612739,2017,110.0,128.0,238.0,107.65,105.0,105.80000000000001,104.9
2018-05-03,1610612738,1610612755,2017,108.0,103.0,211.0,103.0,101.05,116.85,104.15
2018-05-02,1610612745,1610612762,2017,108.0,116.0,224.0,107.6,100.75,107.75,100.69999999999999
2018-05-01,1610612761,1610612739,2017,112.0,113.0,225.0,108.3,105.94999999999999,105.4,104.94999999999999
2018-05-01,1610612744,1610612740,2017,121.0,116.0,237.0,105.0,104.25,110.95,105.4
2018-04-30,1610612738,1610612755,2017,117.0,101.0,218.0,103.35,102.25,116.75,103.7
2018-04-29,1610612739,1610612754,2017,105.0,101.0,206.0,106.75,106.35,103.3,99.4
2018-04-29,1610612745,1610612762,2017,110.0,96.0,206.0,107.8,100.5,108.75,100.15
2018-04-28,1610612738,1610612749,2017,112.0,96.0,208.0,102.6,102.4,109.75,108.5
2018-04-28,1610612744,1610612740,2017,123.0,101.0,224.0,103.5,104.1,111.95,105.05
2018-04-27,1610612764,1610612761,2017,92.0,102.0,194.0,105.65,108.05,109.0,106.44999999999999
2018-04-27,1610612754,1610612739,2017,121.0,87.0,208.0,101.44999999999999,100.25,108.85,105.65
2018-04-27,1610612762,1610612760,2017,96.0,91.0,187.0,109.75,100.0,110.15,108.0
2018-04-26,1610612749,1610612738,2017,97.0,86.0,183.0,109.85,109.7,102.75,102.95
2018-04-25,1610612761,1610612764,2017,108.0,98.0,206.0,109.7,107.3,105.85,109.1
2018-04-25,1610612739,1610612754,2017,98.0,95.0,193.0,110.15,106.75,101.8,100.80000000000001
2018-04-25,1610612745,1610612750,2017,122.0,104.0,226.0,106.69999999999999,100.1,107.0,108.15
2018-04-25,1610612760,1610612762,2017,107.0,99.0,206.0,110.0,107.75,109.55,98.55
2018-04-24,1610612738,1610612749,2017,92.0,87.0,179.0,104.85,103.9,111.35,111.3
2018-04-24,1610612755,1610612748,2017,104.0,91.0,195.0,117.5,104.4,107.8,109.05
2018-04-24,1610612744,1610612759,2017,99.0,91.0,190.0,104.4,104.85,103.05,104.44999999999999
2018-04-23,1610612750,1610612745,2017,100.0,119.0,219.0,107.44999999999999,108.05000000000001,106.25,100.05000000000001
2018-04-23,1610612762,1610612760,2017,113.0,96.0,209.0,109.4,97.69999999999999,111.4,107.9
2018-04-22,1610612749,1610612738,2017,104.0,102.0,206.0,112.05,111.69999999999999,104.35,102.85
2018-04-22,1610612759,1610612744,2017,103.0,90.0,193.0,102.8,104.6,105.3,105.95
2018-04-22,1610612764,1610612761,2017,106.0,98.0,204.0,106.4,109.85,111.4,107.3
2018-04-22,1610612754,1610612739,2017,100.0,104.0,204.0,101.4,100.05000000000001,110.6,108.1
2018-04-21,1610612748,1610612755,2017,102.0,106.0,208.0,109.15,108.85,118.6,105.0
2018-04-21,1610612740,1610612757,2017,131.0,123.0,254.0,110.45,104.25,104.8,103.4
2018-04-21,1610612750,1610612745,2017,121.0,105.0,226.0,107.5,108.0,107.1,99.6
2018-04-21,1610612762,1610612760,2017,115.0,102.0,217.0,108.35,96.6,111.85,107.65
2018-04-20,1610612754,1610612739,2017,92.0,90.0,182.0,102.6,100.2,111.2,109.3
2018-04-20,1610612764,1610612761,2017,122.0,103.0,225.0,105.05000000000001,109.6,112.30000000000001,107.15
