Actual_Total,ls_prediction,over_line,under_line,over_difference,under_difference,Bet,over_odds,under_odds,outcome,profit
193,227.9614344904691,216.5,217.0,11.461434490469088,-10.961434490469088,Over,1.9345794392523366,1.9523809523809523,Loss,-1.0
212,229.66828577838984,216.0,216.5,13.668285778389844,-13.168285778389844,Over,1.9523809523809523,1.9523809523809523,Loss,-1.0
225,233.78330219708565,216.5,217.0,17.283302197085646,-16.783302197085646,Over,2.0300000000000002,1.9523809523809523,Win,1.0300000000000002
238,233.79047016677046,217.0,218.0,16.79047016677046,-15.790470166770461,Over,1.9090909090909092,1.9523809523809523,Win,0.9090909090909092
193,217.33433467930422,208.0,209.0,9.33433467930422,-8.33433467930422,No Bet,1.9523809523809523,1.9523809523809523,,
166,198.53191722065597,197.0,197.5,1.53191722065597,-1.03191722065597,No Bet,1.9803921568627452,1.9523809523809523,,
201,215.76093511624055,214.5,215.0,1.260935116240546,-0.760935116240546,No Bet,1.970873786407767,1.9523809523809523,,
208,214.2568039256092,202.0,202.5,12.256803925609205,-11.756803925609205,Over,1.99009900990099,1.9523809523809523,Win,0.9900990099009901
192,212.57933771547127,219.5,220.0,-6.920662284528731,7.420662284528731,Under,1.9615384615384617,1.9523809523809523,Win,0.9523809523809523
179,205.67111058701252,205.0,205.0,0.6711105870125209,-0.6711105870125209,No Bet,2.0,1.9523809523809523,,
187,207.92820333229986,226.5,227.5,-18.57179666770014,19.57179666770014,Under,1.9433962264150944,1.9523809523809523,Win,0.9523809523809523
213,206.94919911002015,204.5,204.5,2.449199110020146,-2.449199110020146,No Bet,1.9523809523809523,2.0,,
211,224.10539085869058,226.5,226.5,-2.3946091413094166,2.3946091413094166,No Bet,2.0,1.9523809523809523,,
202,213.01052421633514,207.0,207.5,6.010524216335142,-5.510524216335142,No Bet,1.970873786407767,1.9523809523809523,,
232,231.4259513202313,225.0,226.0,6.425951320231292,-5.425951320231292,No Bet,1.9523809523809523,1.9523809523809523,,
201,212.9558731882482,205.5,206.0,7.455873188248205,-6.955873188248205,No Bet,1.970873786407767,1.9523809523809523,,
225,230.94103840193034,225.5,225.5,5.441038401930342,-5.441038401930342,No Bet,1.925925925925926,2.0300000000000002,,
191,215.56261384144938,204.0,204.5,11.562613841449377,-11.062613841449377,Over,1.9523809523809523,1.9523809523809523,Loss,-1.0
226,217.22899244759967,204.5,206.0,12.728992447599666,-11.228992447599666,Over,1.99009900990099,1.8695652173913042,Win,0.9900990099009901
217,251.14806181785758,230.0,230.5,21.14806181785758,-20.64806181785758,Over,1.9803921568627452,1.9523809523809523,Loss,-1.0
214,221.91734901150292,207.5,209.0,14.417349011502921,-12.917349011502921,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
221,231.4027614357785,213.5,213.5,17.9027614357785,-17.9027614357785,Over,2.0,1.9523809523809523,Win,1.0
195,207.74335307504546,206.5,206.5,1.2433530750454622,-1.2433530750454622,No Bet,1.9803921568627452,1.9523809523809523,,
210,233.50311873298602,231.0,232.0,2.5031187329860245,-1.5031187329860245,No Bet,1.970873786407767,1.9523809523809523,,
187,203.32901466112853,211.0,211.0,-7.670985338871475,7.670985338871475,Under,1.9615384615384617,1.9523809523809523,Win,0.9523809523809523
208,208.20914480732827,214.5,215.0,-6.290855192671728,6.790855192671728,Under,2.02,1.9523809523809523,Win,0.9523809523809523
199,209.12534008612653,205.5,207.0,3.6253400861265277,-2.1253400861265277,No Bet,1.9090909090909092,1.9523809523809523,,
205,220.21072765913362,210.0,211.0,10.210727659133624,-9.210727659133624,Over,2.0,1.8695652173913042,Loss,-1.0
219,248.33253107279785,233.5,233.5,14.832531072797849,-14.832531072797849,Over,1.970873786407767,1.970873786407767,Loss,-1.0
211,228.75503837416892,206.0,207.0,22.75503837416892,-21.75503837416892,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
238,236.09018410078173,213.5,213.5,22.590184100781727,-22.590184100781727,Over,1.9523809523809523,2.0,Win,0.9523809523809523
224,215.14879734166266,205.0,207.0,10.148797341662657,-8.148797341662657,Over,2.0,1.8695652173913042,Win,1.0
237,261.6124843208065,229.0,229.5,32.612484320806516,-32.112484320806516,Over,1.99009900990099,1.9523809523809523,Win,0.9900990099009901
225,227.27073503819773,213.0,213.5,14.270735038197728,-13.770735038197728,Over,1.9523809523809523,1.970873786407767,Win,0.9523809523809523
218,224.78031483896322,205.0,205.5,19.78031483896322,-19.28031483896322,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
206,209.33996442597675,206.5,207.0,2.8399644259767456,-2.3399644259767456,No Bet,2.01,1.9523809523809523,,
206,200.63196146298378,200.5,200.5,0.13196146298378153,-0.13196146298378153,No Bet,1.9523809523809523,1.99009900990099,,
224,240.60979198739554,223.5,223.5,17.10979198739554,-17.10979198739554,Over,1.9523809523809523,1.99009900990099,Win,0.9523809523809523
208,215.16990600078583,196.0,196.0,19.16990600078583,-19.16990600078583,Over,2.09,1.970873786407767,Win,1.0899999999999999
