GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2017-09-30,11700001,1610612744,1610612743,2017,102.0,0.411,0.833,0.121,17.0,53.0,108.0,0.444,0.6759999999999999,0.464,23.0,49.0,0,Intertops,180,223.0,-110.0,210.0,Pinnacle Sports,238,222.5,108.0,116.2264150943396,104.32075471698111,111.17689262741216,110.53414151410192
2017-09-30,11700002,1610612747,1610612750,2017,99.0,0.441,0.706,0.1669999999999999,27.0,48.0,108.0,0.416,0.8,0.3,28.0,49.0,0,Pinnacle Sports,238,214.5,-110.0,207.0,Bookmaker,93,216.0,-102.0,104.4355400696864,111.29840716774515,105.20530303030304,105.69368686868688
2017-11-01,21700111,1610612752,1610612745,2017,97.0,0.433,0.846,0.308,23.0,42.0,119.0,0.477,0.762,0.365,21.0,46.0,0,5Dimes,19,214.0,-107.0,216.0,Pinnacle Sports,238,215.5,-102.0,99.91666666666666,107.18333333333334,110.78703703703704,104.05092592592592
2017-11-01,21700107,1610612755,1610612737,2017,119.0,0.465,0.56,0.371,36.0,53.0,109.0,0.436,0.7040000000000001,0.348,22.0,49.0,1,Pinnacle Sports,238,209.0,-104.0,228.0,5Dimes,19,209.0,-105.0,105.02857142857144,107.77142857142856,101.09191176470588,104.28308823529412
2017-11-01,21700108,1610612764,1610612756,2017,116.0,0.446,0.8,0.333,20.0,45.0,122.0,0.494,0.816,0.375,23.0,45.0,0,Pinnacle Sports,238,227.5,-105.0,238.0,Heritage,169,228.0,-105.0,109.97222222222224,104.27777777777776,105.36666666666667,115.86666666666667
2017-11-01,21700110,1610612748,1610612741,2017,97.0,0.41,0.895,0.387,21.0,48.0,91.0,0.404,0.632,0.25,20.0,54.0,1,5Dimes,19,196.0,-105.0,188.0,Pinnacle Sports,238,196.5,-105.0,102.90625,104.125,96.23333333333332,106.36666666666667
2017-11-01,21700115,1610612762,1610612757,2017,112.0,0.378,0.861,0.448,16.0,55.0,103.0,0.398,0.741,0.265,17.0,53.0,1,Heritage,169,191.5,-105.0,215.0,5Dimes,19,192.0,-105.0,100.8,95.4,109.58333333333331,99.66666666666666
2017-11-01,21700109,1610612738,1610612758,2017,113.0,0.488,0.8420000000000001,0.415,30.0,52.0,86.0,0.4320000000000001,0.833,0.3,24.0,26.0,1,Pinnacle Sports,238,195.0,-101.0,199.0,Bovada,999996,196.0,-110.0,103.41666666666666,94.81666666666666,93.1125,102.8875
2017-11-01,21700113,1610612740,1610612750,2017,98.0,0.429,0.857,0.258,27.0,38.0,104.0,0.494,0.667,0.273,20.0,47.0,0,5Dimes,19,224.5,-105.0,202.0,Pinnacle Sports,238,225.0,-105.0,105.17261904761904,108.4375,108.26041666666666,106.83333333333334
2017-11-01,21700114,1610612743,1610612761,2017,129.0,0.534,0.655,0.5,35.0,43.0,111.0,0.494,0.64,0.355,20.0,38.0,1,Heritage,169,217.0,-105.0,240.0,Pinnacle Sports,238,217.5,-105.0,110.29227053140096,108.97463768115942,106.50137362637362,101.62774725274726
2017-11-01,21700116,1610612746,1610612742,2017,119.0,0.526,0.828,0.464,27.0,49.0,98.0,0.393,0.8,0.333,20.0,38.0,1,5Dimes,19,207.0,-108.0,217.0,Pinnacle Sports,238,207.5,-103.0,105.68,105.11,99.375,103.25
2017-11-01,21700105,1610612766,1610612749,2017,126.0,0.536,0.759,0.56,21.0,41.0,121.0,0.495,0.8,0.528,29.0,40.0,1,Heritage,169,203.0,-105.0,247.0,Pinnacle Sports,238,203.0,-101.0,102.33333333333334,101.75,99.22549019607844,104.25910364145658
2017-11-01,21700106,1610612739,1610612754,2017,107.0,0.5,0.7,0.226,25.0,41.0,124.0,0.544,0.769,0.615,35.0,43.0,0,5Dimes,19,217.5,-105.0,231.0,Pinnacle Sports,238,217.5,-103.0,102.95714285714286,108.42857142857144,106.9778911564626,103.4251700680272
2017-11-01,21700112,1610612763,1610612753,2017,99.0,0.476,0.688,0.333,21.0,31.0,101.0,0.507,0.857,0.448,25.0,38.0,0,BetOnline,1096,206.0,100.0,200.0,5Dimes,19,206.0,-105.0,102.8247549019608,99.0171568627451,108.78571428571428,102.67857142857144
2017-11-02,21700117,1610612759,1610612744,2017,92.0,0.391,0.7390000000000001,0.292,19.0,46.0,112.0,0.518,0.75,0.5,30.0,41.0,0,Heritage,169,220.0,-105.0,204.0,5Dimes,19,220.0,-102.0,102.74285714285716,99.12857142857143,120.14285714285714,112.2
2017-11-02,21700118,1610612757,1610612747,2017,113.0,0.465,0.889,0.409,22.0,41.0,110.0,0.544,0.741,0.222,16.0,32.0,1,Heritage,169,212.0,-105.0,223.0,5Dimes,19,212.0,-102.0,108.70238095238096,100.78571428571428,100.76136363636364,108.61136363636363
2017-11-03,21700122,1610612764,1610612739,2017,122.0,0.536,0.677,0.393,25.0,37.0,130.0,0.561,0.929,0.444,20.0,34.0,0,Heritage,169,225.0,-105.0,252.0,Pinnacle Sports,238,225.5,-101.0,110.7,106.61666666666667,103.4125,109.375
2017-11-03,21700125,1610612742,1610612740,2017,94.0,0.386,0.773,0.265,19.0,47.0,99.0,0.404,0.769,0.241,23.0,53.0,0,5Dimes,19,211.0,-105.0,193.0,Pinnacle Sports,238,211.5,-107.0,99.66071428571428,104.32142857142856,106.11428571428571,110.6
2017-11-03,21700119,1610612765,1610612749,2017,105.0,0.474,0.821,0.308,21.0,39.0,96.0,0.47,0.889,0.4,27.0,36.0,1,Heritage,169,204.0,-105.0,201.0,Pinnacle Sports,238,204.0,-100.0,104.07142857142856,102.13095238095238,104.1,107.55714285714284
2017-11-03,21700120,1610612753,1610612741,2017,83.0,0.407,0.6,0.286,23.0,38.0,105.0,0.471,0.917,0.483,23.0,48.0,0,Pinnacle Sports,238,204.5,-103.0,188.0,Heritage,169,204.5,-105.0,108.4375,102.375,95.41666666666669,105.16666666666666
2017-11-03,21700121,1610612755,1610612754,2017,121.0,0.5,0.7859999999999999,0.5,34.0,50.0,110.0,0.464,0.632,0.286,25.0,40.0,1,Heritage,169,217.0,-105.0,231.0,Pinnacle Sports,238,216.5,104.0,106.51190476190476,108.1547619047619,108.20408163265309,103.59183673469389
2017-11-03,21700124,1610612752,1610612756,2017,120.0,0.517,0.88,0.308,24.0,49.0,107.0,0.351,0.8109999999999999,0.281,17.0,47.0,1,5Dimes,19,221.0,-101.0,227.0,Pinnacle Sports,238,221.0,-104.0,99.28571428571428,107.95714285714286,106.66666666666666,115.83333333333331
2017-11-03,21700129,1610612760,1610612738,2017,94.0,0.402,0.7859999999999999,0.371,20.0,48.0,101.0,0.429,0.667,0.464,23.0,49.0,0,Pinnacle Sports,238,207.5,-100.0,195.0,5Dimes,19,207.5,-108.0,104.1,95.1,104.08333333333331,94.16666666666666
2017-11-03,21700126,1610612759,1610612766,2017,108.0,0.47,0.8079999999999999,0.333,31.0,45.0,101.0,0.413,0.643,0.333,16.0,46.0,1,5Dimes,19,200.5,-105.0,209.0,Pinnacle Sports,238,200.0,-100.0,101.39285714285714,100.26190476190476,103.67857142857144,103.13095238095238
